user_id,user_name,player_id,player_name,player_slug,position,price,fantasy_price,status,owner_date,owner_date_iso,owner_price,real_team_id,real_team_name,fitness_json
6826480,Víctor Orta,1952,,,,,,,1775192693,2026-04-03T05:04:53+00:00,8180000,,,
6826480,Víctor Orta,5697,,,,,,,1774073202,2026-03-21T06:06:42+00:00,200001,,,
6826480,Víctor Orta,9090,,,,,,,1773555007,2026-03-15T06:10:07+00:00,3250000,,,
6826480,Víctor Orta,11800,,,,,,,1779340498,2026-05-21T05:14:58+00:00,7290000,,,
6826480,Víctor Orta,17756,,,,,,,1777871042,2026-05-04T05:04:02+00:00,5390000,,,
6826480,Víctor Orta,18174,,,,,,,1773900292,2026-03-19T06:04:52+00:00,7920000,,,
6826480,Víctor Orta,24979,,,,,,,1771600984,2026-02-20T15:23:04+00:00,1775000,,,
6826480,Víctor Orta,25127,,,,,,,1774933629,2026-03-31T05:07:09+00:00,14610000,,,
6826480,Víctor Orta,25159,,,,,,,1773900292,2026-03-19T06:04:52+00:00,3710000,,,
6826480,Víctor Orta,25724,,,,,,,1762322730,2025-11-05T06:05:30+00:00,7970000,,,
6826480,Víctor Orta,26068,,,,,,,1769062476,2026-01-22T06:14:36+00:00,5950000,,,
6826480,Víctor Orta,26592,,,,,,,1777439506,2026-04-29T05:11:46+00:00,1540000,,,
6826480,Víctor Orta,26697,,,,,,,1772431859,2026-03-02T06:10:59+00:00,1700000,,,
6826480,Víctor Orta,30787,,,,,,,1772431859,2026-03-02T06:10:59+00:00,3520000,,,
6826480,Víctor Orta,30801,,,,,,,1775884050,2026-04-11T05:07:30+00:00,150000,,,
6826480,Víctor Orta,38178,,,,,,,1776575630,2026-04-19T05:13:50+00:00,1020000,,,
6826480,Víctor Orta,38493,,,,,,,1776575629,2026-04-19T05:13:49+00:00,1790000,,,
6826480,Víctor Orta,38965,,,,,,,1776056850,2026-04-13T05:07:30+00:00,150000,,,
6826480,Víctor Orta,40009,,,,,,,1779340498,2026-05-21T05:14:58+00:00,6120000,,,
6826480,Víctor Orta,40010,,,,,,,1775538433,2026-04-07T05:07:13+00:00,170000,,,
